Adjacency Matrix,2,5,100
Adjacency List,1,3,100
Adjacency Matrix,5,15,500
Adjacency List,4,22,500
Adjacency Matrix,19,16,1000
Adjacency List,18,98,1000
Adjacency Matrix,57,66,2000
Adjacency List,28,115,2000
Adjacency Matrix,344,467,5000
Adjacency List,69,467,5000
Adjacency Matrix,941,1095,7500
Adjacency List,405,652,7500
Adjacency Matrix,3110,3298,10000
Adjacency List,1028,1624,10000
